Id,Name,Parentid

1,ABC,0
2,AEG,0
3,Akasaka,0
4,Allen,0
6,Anglo-Belgian Corp,0
7,Ansaldo,0
13,B&W,0
8,Bergen,0
9,Black Stone,0
78,Blohm & Voss,0
10,Bolnes,0
11,British Polar,0
12,Brons,0
14,Callesen,0
15,Caterpillar,0
16,Crepelle,0
17,Cummins,0
18,Daihatsu,0
19,Dal Diesel,0
20,De Laval,0
21,Detroit Diesel,0
22,Deutz,0
23,DMR,0
24,Doxford,0
25,Duvant,0
26,EMD,0
27,English Electric,0
28,Enterprise,0
29,Fairbanks-Morse,0
30,Fiat,0
31,Fuji,0
32,GEC,0
33,General Motors,0
34,Goerlitzer,0
35,Gotaverken,0
36,Hanshin,0
37,Hedemora,0
77,Hitachi,0
38,Industrie,0
39,Ito Tekko,0
40,Kawasaki,0
41,Lang,0
42,Lister Blackstone,0
43,MAK,0
44,Makita,0
45,MAN,0
46,MAN-B&W,0
48,Mercedes,0
49,Mirrlees,0
50,Mitsubishi,0
47,Mitsui,0
51,MTU,0
52,MWM,0
53,Newport News,0
54,Niigata,0
55,Nohab Polar,0
56,Normo,0
57,Nuclear,0
58,Pielstick,0
59,Polar,0
60,Rus Diesel,0
61,Ruston,0
62,Schottel,0
63,SKL,0
64,Skoda,0
65,Stal-Laval,0
66,Stork,0
67,Sulzer,0
68,Turbine,0
70,Volund,0
69,Volvo,0
71,Wartsila,0
72,Werkspoor,0
73,Wichmann,0
74,WOLA,0
75,Workstorm,0
76,Yanmar,0
